Model,Precision,Recall,F1,ROC_AUC
Naive Bayes,1.0,0.718854586129754,0.8362891779662928,0.985032754923439
Logistic Regression,0.9862504458093916,0.6559642058165548,0.7876182402153077,0.9906774698334319
SVM,0.9718296712908916,0.9156599552572707,0.9427126374494795,0.993482379942275
Stacking,0.9529246957069668,0.9477583892617449,0.9502380365300027,0.9927110709276583
