Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std
RandomForest,2.640028207027131,0.5570027111916183,0.9109057568838143,0.04224810538563281
Subagging,2.756930922168042,0.5756582188491309,0.94084622750919,0.045892148146882666
GradientBoosting,2.5220774854368186,0.3533137845813641,1.3593114449136892,0.07184860923183167
